7017000,G4ZDY,G0KTN-#,CW,10dB Q:4+ Z:14,15
7034000,KA8TNK,K9LC-#,CW,9dB Q:4 Z:4,5
10119000,IK0YVV,DF7GB-#,CW,9dB Q:9* Z:14,15
14017800,YU7B,PE5TT-#,CW,7dB Q:9+ Z:14,15
18073100,9A/S58DX,OK1HRA-#,CW,11dB Q:9* Z:14,15
14040000,D2OWJ,K2PO/7-#,CW,11dB Q:3 Z:4,5
7006500,7K4TSL,JA1CCA-#,CW,20dB Q:4+ Z:25             2217Z,1786054631
10111700,G0ORC,DK9IP-#,CW,6dB Q:9+ Z:14,15
14040500,N3WT,SE5E-#,CW,5dB Q:9* Z:4,14
14024000,KY4GS,DO4DXA-#,CW,8dB Q:8+ Z:3,5
14056000,K9IH,K5TR-#,CW,11dB Q:3* Z:3,4
10136000,OH0ERF,YU4EA,FT8,?land Islands              2217Z,1786054651
14049000,JJ1FXF,EA8/DF-#,CW,9dB Q:3+ Z:24,33
10111000,M0NMM,WZ7I-#,CW,6dB Q:9+ Z:3,4
14056000,K9IHK,N7VVX-#,CW,5dB Q:3 Z:3               2217Z,1786054662
14054000,M0KTC,N2CR-#,CW,13dB Q:9+ Z:5              2217Z,1786054663
14014000,G0TZD,OK1HRA-#,CW,7dB Q:9*+ Z:4,5
14050100,N4RDX,WA7LNW-#,CW,11dB Q:4 Z:3,7
21064900,DO6IH,HA8TKS-#,CW,14dB Q:2*+ Z:14,15
14008000,DL0JK,CT1EYQ-#,CW,6dB Q:9*+ Z:3,14
14021100,YU1WN,R4NCU-#,CW,12dB Q:9+ Z:16,33
14019900,9A5AHN,YO2CK-#,CW,4dB Q:9*+ Z:20            2217Z,1786054686
21019000,JM7OLW,AC0C-#,CW,6dB Q:2* Z:4,11
10112700,G0ORC,DK9IP-#,CW,4dB Q:9 Z:5,14
50016000,GB3BAA,G3AKX-#,CW,16dB Q:2+ Z:14             2216Z,1786054697
14046000,K7DCG,VE6WZ-#,CW,7dB Q:9+ Z:4,5
14042900,W7MSL,N2EPE-#,CW,2dB Q:9* Z:3,4
14021100,YU1W,BA6KC-#,CW,8dB Q:2 Z:7,24
14040500,N1CCC,N2YCH-#,CW,3dB Q:2+ Z:5              2218Z,1786054722
14080000,CU2JX,LU1EEP,FT4,2218Z,1786054723
14002000,IK1QHB,SZ1A-#,CW,10dB Q:9*+ Z:4,20
14016500,CT1BQH,N2CR-#,CW,7dB Q:9 Z:3,5
7003100,OY1CT,OH6BG-#,CW,7dB Q:9+ Z:14,15
14033500,WB0RLJ,W4KAZ-#,CW,4dB Q:9+ Z:4,15
7026800,JH0GWW,JA1CCA-#,CW,32dB Q:2* Z:25             2219Z,1786054766
14035000,W1AW/2,AA0O-#,CW,2dB Q:8*+ Z:3,4
7026000,IK0YVV,RU9CZD-#,CW,14dB Q:9* Z:14,15
7030000,WZ8P,K4PP-#,CW,29dB Q:2 Z:4               2219Z,1786054776
14043000,KM6QFJ,AC0C-#,CW,20dB Q:2+ Z:3,4
10108000,WZ2J,G4IRN-#,CW,4dB Q:4 Z:4,14
18090900,DK5JPL,KM3T-#,CW,6dB Q:3* Z:5,20
14019000,OG50YL,EA2RCF-#,CW,4dB Q:9+ Z:14             2219Z,1786054790
14025800,G5NIK,YO2KAR-#,CW,12dB Q:5+ Z:5,15
14050000,WB6OJB,VE6WZ-#,CW,6dB Q:2*+ Z:4,5
7032500,DL6LAL,DK9IP-#,CW,2dB Q:2 Z:14,15
18073800,9A/S58DX,DL8LAS-#,CW,13dB Q:3* Z:14,20
14068000,KI5UWK,K5KHK-#,CW,23dB Q:2+ Z:3,4
7030000,DK4AN,S50ARX-#,CW,8dB Q:4+ Z:14,15
14058000,KJ6ER,AK6RI-#,CW,5dB Q:9 Z:3,4
7020000,JA9EPU,JA1CCA-#,CW,20dB Q:2 Z:25              2217Z,1786054823
14112500,PA3BUL,KM3T-#,CW,3dB Q:2+ Z:5              2219Z,1786054826
7034000,KA8TNK,WB6BEE-#,CW,16dB Q:4+ Z:3              2220Z,1786054826
21038000,JL1MWY,K9IMM-#,CW,9dB Q:5* Z:4,15
14058600,OK2JIQ,SM1HEV-#,CW,11dB Q:9+ Z:14,25
14046000,N7BBQ,W4KAZ-#,CW,10dB Q:8+ Z:4,5
14056000,K9IHK,ES2RR-#,CW,4dB Q:3+ Z:3,4
7037500,HB9YC,ES5PC-#,CW,14dB Q:4+ Z:14,15
14020000,9A5AHN,DK9IP-#,CW,7dB Q:9*+ Z:3,14
7023000,BH2URK,JN1ILK-#,CW,22dB Q:4+ Z:24,25
10128000,KZ9V,WB6BEE-#,CW,12dB Q:4 Z:3,5
7012000,EA1FL/P,TF3Y-#,CW,11dB Q:8+ Z:14,40
7030000,W1AW/2,N2EPE-#,CW,16dB Q:7+ Z:4,5
7025000,I/M0KTZ,YO2CK-#,CW,6dB Q:2* Z:20             2221Z,1786054900
14061900,CT1EXR,YO2KAR-#,CW,6dB Q:9*+ Z:3,5
14043500,JK0AQN,BD4UNT-#,CW,6dB Q:2+ Z:14,24
7005000,SM6OID,G4ZFE-#,CW,23dB Q:4 Z:14,15
